title,body,impact,urgency,priority
Application to Retain Corpse for Period Exceeding 7 Days - Cannot upload file,!image-2019-03-12-16-48-57-564.png!,2,2,3
Application to Retain Corpse for Period Exceeding 7 Days - Cannot upload file inconsistent Error Message,"The error message and logic for other contacts no in the form is different

!image-2019-03-19-21-50-20-762.png!",2,3,2
Application to Retain Corpse for Period Exceeding 7 Days - Update Field Name,"Please help to change the following field name into ""Identification No"" This is at the page 2

!image-2019-03-19-21-58-14-850.png!",3,3,3
Appointment Form - Populate values ,"For this, can we:
 # Populate the mobile number, but editable
 # Populate the email address, but editable",3,3,3
Appointment Form - Unable to make appointment,"Form: **Registration for Clean Singapore Learning Trail (Beaches)

When clicking, ""Book Appointment"", I filled in correctly, but when I click next, the email and resource got resetted.

Screenshot 1:

!image-2019-05-06-17-12-03-712.png!

Screenshot 2:

!image-2019-05-06-17-11-06-859.png!

I exited the appointment form, and click 'Book Appointment' again. The slots that I booked earlier, was shown to be unavailable now.

!image-2019-05-06-17-13-48-220.png!",3,2,2
Appointment Form not available,"This is applicable for 3PND forms, whereby the appointment details are hardcoded for every aapplication.

!image-2019-04-26-18-58-16-569.png!",1,1,1
Appointment Reference No,"Please follow the following reference no format for you reference no.
 X is the service code
 R is the random number
 y is year
 M is month
 d is day

!image-2019-04-03-12-19-53-336.png!",3,2,3
Appointment Reminder Notification wrong Results,"*Reporter:* June Low

Appointment reminder notification logic is incorrect. Please take a look at the screenshot.

!image-2019-06-04-15-55-15-458.png!
 # Appointment reference number for number 1 is different
 # The appointment supposed to be on 18 June 2019. But, I receive the notification on 04 June 2019. Meanwhile, the configuration for the first reminder is 2 days before and 1 day before.",2,3,2
Appointment Scope Item is not Updated,"Appointment scope item should be based on the appointment service, but currently its not

!image-2019-05-09-20-39-53-373.png|width=410,height=317!",2,2,2
Appointment Service Creation Missing Validation,"Both of the following fields are missing their validation message:

!image-2019-04-25-20-25-02-067.png|width=552,height=401!

!image-2019-04-25-20-25-57-957.png|width=550,height=323!

 ",3,3,3
Appointment Service Creation wrong Department Value,"It looks like eAppointment service is referring to the wrong department value on code maintenance. This one is Nea.Department, meanwhile it should be Common.Department. Please help to change this 

!image-2019-04-25-20-41-58-479.png!",3,3,3
Appointment details not shown in application draft,"*Reporter:* Cong Ying, 3PND
 **

*Assignee* : %Jason%

*Details:*

user booked an appointment and closed the application. When viewing the draft, the appointment details are missing even though the 30 minute grace period has not passed.

.

.",2,2,2
Appointment service to be bind to Category and Subcategory," 

Appointment services is required to bind to Category and Subcategory.

 

!image-2019-04-17-19-56-12-539.png|width=1073,height=604!",2,3,2
Approve button is still there after the service category is approved,See attached screenshots.,2,3,2
Approve button is still there after the service subcategory is approved,See attached screenshots.,2,3,2
Ask Jamie Icon is not working,"Hi,

Ask Jamie icon cannot be clicked on the Internet page.

 

Thank you.",3,3,3
Audit Report Requirements,"Audit trail of privileged accounts (Department Admin & System Admin) and these should be reviewed by an independent reviewer.

The independent reviewer should be someone who has no access to ePortal system. The reports should be sent by a batch job every quarter, and the email address of the independent review should be configurable by System Admin on the master code maintenance table.

System Admin, Department Admin and Independent Reviewer nominated for ePortal (as per 14^th^ ePortal PWC)

!image-2019-03-21-16-11-17-606.png!*Type of Reports:*
 # List of Inactive accounts as of today
 # List of Unsuccessful login attempts
 # List of New accounts created
 # Audit trail of privilege accounts
 # List of user who access from 12:00 am to 6:00 am, inclusive of weekends and public holidays. These should be configurable.

Refer to samples here: [^5 Audit Reports.pdf]

 

*+User Access Rights Audit Trail Report:+*

*+E.g.+*
 * Create/Update/Delete of a user/role/group/function
 * Create/Update/Delete user from a Role/Group
 * Create/Update/Delete role/group from function*+Proposed Criteria for the Report:+*

 ** Department
 ** Period (maximum 3 months)
*Proposed Sample Report:*
*!image-2019-03-21-16-12-59-814.png!*

*+User Account Audit Trail Report:+*

*+E.g.+*
 * Update of User Profile on ePortal Intranet by Department Admin/System Admin
 * Should be able to generate from ePortal Intranet
 * Batch job to be sent to IR appointed above on quarterly basis.

*+Proposed Criteria for the Report:+*
 * Department
 * Period (maximum 3 months)

Proposed Sample Report:

!image-2019-03-21-16-14-01-868.png!",2,1,1
Audit Trail Report not sent via email batch job,-,3,2,2
Audit Trail Search Function Not Working Well,!image-2019-01-16-18-12-01-961.png!,3,3,3
Audit trail sub-menu is not listed,See attached screenshots.,3,3,3
Authorisation for Third Party - Field Typo,"Instead of 'Officer Location', I believe it's 'Office' location.

!image-2019-04-30-15-46-49-591.png!

Please amend. ",3,3,3
Authorisation for Third Party - LOVs error,"# Select 'Service' > Storage/Removal of Cremated Remains
 # The dropdown shows these. I believe there should be more than that.

!image-2019-04-30-15-48-58-171.png!

1. ",3,3,3
Auto Clear Declaration,"When I click on Declaration box and terms, then close the terms, the checkbox is cleared

!image-2019-06-27-13-02-48-236.png|width=559,height=295!",3,3,3
Auto Complete Country Name,-,3,3,3
Auto Populate the Profile Management for CorpPass Login,"Please fix this auto population. Currently the address is missing

!image-2019-08-08-17-42-30-338.png|width=564,height=484!",3,3,3
Auto logged out after logging in,"Everytime I login SP, always logout. And each time I applied a new application, and always land me to login page

!image-2019-06-24-01-16-36-766.png!",1,1,1
Auto populated is not working,"These fields supposed to be auto populated

!image-2019-01-18-12-28-23-602.png!",3,3,3
Auto-Population on Non Auto-Populated Field,"The “Other contact no” field is auto-populated even though the field is supposed to not auto-populated.

!image-2019-01-04-16-05-54-128.png!",3,3,3
Automatically Back to Top of the page,All forms ,2,3,3
Back button in subcategory can't go back to the original page,"View the subcategory record that sits in 2nd page but after click on back button, the system load first page.",3,3,3
Back to top is not working,"The ""Back to top"" button is not working, it supposed to scroll to the top of the page. !back to the top.gif!",3,3,3
Beaches - Appointment Details are Incorrect,"After selecting the date, I was directed to this confirmation page but there was no ref. no shown

!image-2019-05-07-20-18-24-591.png!

I proceeded with the application but saw that in the confirmation page, the details are wrong:

!image-2019-05-07-20-19-07-700.png!",2,2,2
Big Gap on Announcement Listing Page,!image-2019-01-24-13-05-31-911.png!,3,3,3
Big Gap on the Service Category,!image-2019-01-24-13-02-19-032.png!,3,3,3
Blank Reference number in inbound document listing,"Currently in Inbound document listing, it will show empty reference number for documents where application is saved as draft.

Please hide it or include additional column to indicate what is the application status.

!image-2019-07-02-22-53-01-666.png!  ",3,3,3
Blank page for Application Passed SLA Time,Blank page shown upon clicking on Application Passed SLA Time in dashboard.,3,2,2
Blank page for Dashboard,"Click on Home link from other pages and the dashboard is blank.

See attached screenshot.",3,2,2
Blank page for Service List,See attached screenshots.,2,2,2
Blank page for View All,Blank page shown upon clicking on View All in dashboard.,3,2,2
Blank page for new application submitted today,-,3,2,2
Blank page shown for eApplication,Blank page shown upon clicking on eApplication in dashboard.,3,2,2
Blank page upon clicking on Cron Job,See attached screenshot.,3,2,3
Broken Access Control,Can create appointments to other user accounts,2,2,3
Broken UI on eApplication Search,"The UI is broken

!image-2019-01-14-19-00-03-314.png!",3,3,3
Browser not responsive in eServices page when window is minimized,"There should be padding, but refer to screenshot:

!image-2019-01-30-20-27-48-514.png|thumbnail!",3,3,3
Bug at System Config Delete Function,"I try to delete a configuration, it said its deleted but the table still shows the value that deleted. If you try to search the deleted, it will be gone. 

!image-2019-03-24-22-07-21-406.png!",3,3,3
Building Plan - Error Contractor Information,"Under 'Contractor Information' should be 'Organisation Name' not 'Company Name'

!image-2019-03-19-11-52-40-822.png!",3,3,3
"Building Plan Consultation Detail Page, Step 4 of 4","Error on the consultation Detail Section

!image-2019-01-14-19-02-27-508.png!",3,3,2
Building Plan Consultation Request,"1. CBPD – Building Plan Consultation Request

2. Login via CorpPass: Organisation Name should be editable

3. Registered address should not be hardcoded to NEA address and editable

4. Attempt to attach a > 5mb PDF

5. Waited for quite a while (15 mins), nothing happened

There should be a cursor indicated to the MOP that is processing, and system should display message that File size exceeds limit

Name for CBPD Officer should not allowed special characters:

Please change from CBPD to DCLD

 

Nothing happened when I click on the Envelope icon:

 

Ok when I upload < 2 mb pdf

I received 2 email notifications:

1 for APP-BPCOR-20190430-45932 and

*APP-BPCOR-20190430-64541 (wrong)*

 ** 

*No SMS*

 

 ",3,2,2
Building Plan Consultation Request (CorpPass) - Confirmation Page Error,"Spotted the following errors:
 # Name was undefined

!image-2019-04-22-16-42-20-121.png|thumbnail!

 

2. No dash for optional fields with empty inputs

!image-2019-04-22-16-42-37-436.png|thumbnail!

 ",3,3,3
Building Plan Consultation Request - Validation for TS/ MK No. & Lot Number,"Understand that the validation rule was not provided during req gathering. We have obtained the rules from users during static content gathering.

Please use the following validation rules for Building Plan Consultation Request

_Field: TS/MK No._

_Rule: Value should start with TS or MK._ _Should be Text (4), as the format is TSXX or MKXX whereby XX denotes a numeric value._ 

_Field: Lot No._

_Rule: Value should be XXXXXA whereby XXXXX denotes a numeric value ranging from 00001-69999 & 90000-99999 and A denotes an alphabet._",3,3,3
Building Plan Form - Error in TS/MK No. and Lot  Number,"After filling the field by combining number and alphabet, inline error message show. The field should can be filled with alphabet too. 

!image-2019-03-05-10-54-17-586.png!",2,3,3
Bulk Appointment Template Need to Be Tidy Up,"Please help to put some space on the Column Title, also please put the ""Optional"" sign on the column title

!image-2019-05-06-12-04-00-220.png!",3,3,3
Bulk Appointment Wrong Corppass Validation,"I got this error when doing bulk create appointment

!image-2019-06-07-11-44-45-471.png!

This is the input. Corporate, 180041586R

!https://lh3.googleusercontent.com/-7LOptI_CgdA/XPnWIuD1N2I/AAAAAAAAWXY/SOV7gGQhjbUJ1hN_sc-jTHSDJ394PLEAQCK8BGAs/s512/2019-06-06.png!

 

It should be a valid UEN, but the system return error. Please fix.",2,2,2
Bulk Upload Validation Seems Not working,"I can create a user with not existing department and role

!image-2019-01-10-19-41-32-387.png!",1,1,1
Burial - FW: [ePortal] Testing with OneILS on Wave 1 Services,"Submission Date : 02 Jan 2020
 Service : Burial
 Application No: APP-CCKAB-20200102-90333
 Payment: Stage 1
 Testing Status: Failed
 Remarks/Issues:
 The dropdown list of Cemetery shown Muslim Cemetery and Muslim. Are they correct?
 !unnamed (2).jpg|thumbnail! 
Why only Muslim Cemetery? Why not CCK?",2,3,3
"Burial - Foetus	-FW: [ePortal] Testing with OneILS on Wave 1 Services","Submission Date : 02 Jan 2020
 Service : Burial - Foetus
 Application No: APP-CCKAB-20200102-01256 
 Payment: Stage 1
 Testing Status: Failed
 Remarks/Issues:

OneILS received the application after 1 hour later. Pls check when ePortal sends to OneILS.",3,3,3
Burial Booking - No cemetery is loaded,!Burial Booking - no Cemetery to select.JPG!,2,3,2
Burial – Surgical Remains -FW: [ePortal] Testing with OneILS on Wave 1 Services,"Submission Date : 02 Jan 2020

Service : Burial – Surgical Remains

Application No: APP-CCKAB-20200102-90333

Payment: Stage 1

Testing Status: Failed

Remarks/Issues:

OneILS received the application after 1 hour later. Pls check when ePortal sends to OneILS.",3,3,3
Buttons are not aligned in same row,"See attached screenshot.

!image-2019-05-10-18-35-08-701.png|width=824,height=455!",3,3,3
Buttons are not working,See attached screenshot.,2,3,3
CBPD - Download button is not working,"The download button on the acknowledgement page is not working.

After clicking the icon, there was a pop-up message appeared but no file was being downloaded when clicking OK.

 

Test case (step 19): https://docs.google.com/spreadsheets/d/1iXbvmdoX3M8E8cqanULKeaz8k2TX6yS1kYK37D5gF_Y/edit#gid=914559098

 

Thank you.",3,3,3
CBPD - Email button is not working,"The email button on the acknowledge page is not working.

After clicking the icon, there was a pop-up message appeared but no email is received.

 

Test case (step 20): [https://docs.google.com/spreadsheets/d/1iXbvmdoX3M8E8cqanULKeaz8k2TX6yS1kYK37D5gF_Y/edit#gid=914559098]

 

Thank you.",3,3,3
